source_entity,relationship_type,target_entity,source_document
TensorFlow,PART_OF_INDUSTRY,Deep Learning Frameworks,Ethiopia Platinum Economy 26 June 2025.pdf
Rainfall Variability,INFLUENCED_BY,Water Resource Management and Sanitation,Ghana Green Economy 25 June 2025.pdf
Technicien en Traitement de l'Eau,PART_OF_INDUSTRY,Water Resource Management,Senegal Green Economy 25 June 2025.pdf
Health AI Researcher,HAS_CHARACTERISTIC,Knowledge,Ethiopia Platinum Economy 26 June 2025.pdf
Health Informatics Specialist,HAS_CHARACTERISTIC,Knowledge,Ghana Platinum Economy 26 June 2025.pdf
Public Services Commission (PSC),LOCATED_IN,Ghana,Ghana Yellow Economy 25 June 2025.pdf
Laborer,PART_OF_INDUSTRY,Agriculture,Kenya Braonze Economy 25 June 2025.pdf
Digital Master Plan,INFLUENCED_BY,Logistics,Kenya Iron Economy 26 June 2025.pdf
Cyber Security Analyst,HAS_CHARACTERISTIC,Knowledge,Ethiopia Platinum Economy 26 June 2025.pdf
General Repair Artisans,HAS_CHARACTERISTIC,Physical,Kenya Blue Economy 25 June 2025.pdf
Project Coordinator,HAS_CHARACTERISTIC,Permanent,Senegal Green Economy 25 June 2025.pdf
Engineering Services,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Agri -Jeunes Tekki Ndawñi,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Online Freelancers,LOCATED_IN,Kenya,Kenya Yellow Economy 25 June 2025.pdf
Site Reliability Engineer (SRE),REQUIRES_SKILL,System Monitoring,Kenya Platinum Economy 26 June 2025.pdf
Finance -Comptabilité,HAS_CHARACTERISTIC,Knowledge,Senegal Gold Economy 26 June 2025.pdf
Civil Engineer,HAS_CHARACTERISTIC,Formal,Ghana Iron Economy 26 June 2025.pdf
Renewable Energy Engineer,PART_OF_INDUSTRY,Renewable energy sector,South Africa Yellow Economy 25 June 2025.pdf
Public Service Internship Program,INFLUENCED_BY,Experience Gap,Ethiopia Yellow Economy 25 June 2025.pdf
Smart City,BELONGS_TO_DOMAIN,Yellow Economy,South Africa Yellow Economy 25 June 2025.pdf
Digital Media Designer / Graphic Designer,REQUIRES_SKILL,Communication,Senegal Platinum Economy 26 June 2025.pdf
Multimedia Artist,REQUIRES_SKILL,Videography,Ghana Orange Economy 25 June 2025.pdf
Mentorship Program,INFLUENCED_BY,FIPAG,Ghana Orange Economy 25 June 2025.pdf
Just Transition Framework,IMPLEMENTS,Reskilling Programs,Ghana Platinum Economy 26 June 2025.pdf
"Ministry of Mining, Blue Economy and Maritime Affairs",GOVERNED_BY,Blue Economy,Kenya Braonze Economy 25 June 2025.pdf
Wildlife Biologist,BELONGS_TO_DOMAIN,Blue Economy,Kenya Blue Economy 25 June 2025.pdf
Navigating Officers (Deck Officers),HAS_CHARACTERISTIC,Permanent,South Africa Blue Economy 25 June 2025.pdf
Home-based Caregiver,PROGRESSES_TO,Enrolled Nursing,South Africa Lavender Economy 25 June 2025.pdf
Thiès,HAS_CHARACTERISTIC,skilled,Senegal Green Economy 25 June 2025.pdf
National Health Insurance Scheme (NHIS),IMPLEMENTS,National Health Insurance Levy (NHIL),Ghana Lavender Economy 25 June 2025.pdf
Site Coordinator,BELONGS_TO_DOMAIN,Iron Economy,Kenya Iron Economy 26 June 2025.pdf
Network Technician,HAS_CHARACTERISTIC,Skilled,Kenya Platinum Economy 26 June 2025.pdf
Circular Economy Strategist,REQUIRES_SKILL,product design for circularity,South Africa Green Economy 25 June 2025.pdf
Consortium_of_Ethiopian_Human_Rights_Organizations,LOCATED_IN,Ethiopia,Ethiopia Yellow Economy 25 June 2025.pdf
Ethiopian Reporter Jobs,LEADS_TO,NGO Roles,Lists of Job Platforms in our Countries.pdf
Marine Technical Manager,HAS_CHARACTERISTIC,Skilled,South Africa Blue Economy 25 June 2025.pdf
Research,TEACHES_SKILL,Central Bank of Kenya (CBK),Kenya Gold Economy 26 June 2025.pdf
Nurses,IMPLEMENTS,Plan National de Développement Sanitaire et Social (PNDSS) 2019 -2028,Senegal Lavender Economy 25 June 2025.pdf
Banking,BELONGS_TO_DOMAIN,Gold Economy,South Africa Gold Economy 26 June 2025.pdf
Traditional Finance,REQUIRES_SKILL,Graduate Programs,Kenya Gold Economy 26 June 2025.pdf
Senior Lecturer,PROGRESSES_TO,Professor,Ghana Green Economy 25 June 2025.pdf
Universities,HAS_PREREQUISITE,Creative Sector,South Africa Orange Economy 25 June 2025.pdf
Digital Transformation,LEADS_TO,Health IT Consultant,Senegal Lavender Economy 25 June 2025.pdf
Graphic Designer,LOCATED_IN,Addis Ababa,Ethiopia Orange Economy 25 June 2025.pdf
Engineer II (Electrical),PART_OF_INDUSTRY,Public Service Commission,Kenya Iron Economy 26 June 2025.pdf
IT Security Administrator,REQUIRES_SKILL,Regulatory Requirements,Senegal Gold Economy 26 June 2025.pdf
Junior Environmental Officer,PROGRESSES_TO,Senior Environmental Officer,Ghana Green Economy 25 June 2025.pdf
Transport Planning Position,REQUIRES_SKILL,Transport Planning,Ghana Green Economy 25 June 2025.pdf
Actor (Stage),REQUIRES_SKILL,Versatility,South Africa Orange Economy 25 June 2025.pdf
Sustainable Technologies,REQUIRES_SKILL,Green Building Professional/Consultant,South Africa Green Economy 25 June 2025.pdf
Mining Employment,LOCATED_IN,Senegal,Senegal Bronze Economy 26 June 2025.pdf
Augmented Reality Developer,HAS_CHARACTERISTIC,Elastic,Kenya Platinum Economy 26 June 2025.pdf
Gynecologist,BELONGS_TO_DOMAIN,Lavender Economy,Senegal Lavender Economy 25 June 2025.pdf
National Infrastructure Fund,INFLUENCED_BY,Construction Firms,Kenya Iron Economy 26 June 2025.pdf
Solar Project Manager,REQUIRES_SKILL,PV Systems Knowledge,South Africa Green Economy 25 June 2025.pdf
Cultural Export Manager,HAS_CHARACTERISTIC,Knowledge,Ethiopia Platinum Economy 26 June 2025.pdf
Tech Companies,LOCATED_IN,Dakar,Senegal Orange Economy 25 June 2025.pdf
Social Media Manager,REQUIRES_SKILL,Scheduling Tools,Kenya Orange Economy 25 June 2025.pdf
Grant Management,PART_OF_INDUSTRY,Climate Finance,Ghana Platinum Economy 26 June 2025.pdf
Municipal Policy,INFLUENCED_BY,Public Transport Planner/Engineer,South Africa Green Economy 25 June 2025.pdf
Broker/Trader,REQUIRES_SKILL,Market Mechanics,Senegal Gold Economy 26 June 2025.pdf
Automotive Technicians,HAS_CHARACTERISTIC,Physical,South Africa Iron Economy 26 June 2025.pdf
Electrical and Mechanical Maintenance,PART_OF_INDUSTRY,Utilities,Ghana Iron Economy 26 June 2025.pdf
Academic Faculty,PART_OF_INDUSTRY,Healthcare,Ghana Lavender Economy 25 June 2025.pdf
AI in Asset Management,PROGRESSES_TO,Digital Skills,South Africa Gold Economy 26 June 2025.pdf
Green_Employment,LOCATED_IN,Ghana,Ghana Green Economy 25 June 2025.pdf
Environmental Sensor Engineer,INFLUENCED_BY,Sensor Networks,Ethiopia Platinum Economy 26 June 2025.pdf
Community Liaisons (CLOs),HAS_CHARACTERISTIC,Unskilled,Ghana Yellow Economy 25 June 2025.pdf
Healthcare & Social Care,LOCATED_IN,Ghana,Ghana Gold Economy 26 June 2025.pdf
Service social,LOCATED_IN,Sénégal,Senegal Yellow Economy 25 June 2025.pdf
Tax Revenues,INFLUENCED_BY,Mining Operations,Senegal Bronze Economy 26 June 2025.pdf
Rail Logistics,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Senegalese Baccalauréat,HAS_PREREQUISITE,Public Universities,Senegal Undergraduate Admission Prerequisites_.pdf
Master in Data Science and Applications (SDA),TEACHES_SKILL,Big Data frameworks,Senegal Platinum Economy 26 June 2025.pdf
Insurance Sector,HAS_CHARACTERISTIC,Skilled,Senegal Gold Economy 26 June 2025.pdf
Inspector (Building),PART_OF_INDUSTRY,Construction,Kenya Iron Economy 26 June 2025.pdf
Fisheries,PART_OF_INDUSTRY,Ghana's Bronze Economy,Ghana Bronze Economy 26 June 2025.pdf
Plant and Equipment Operators,BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
community outreach,PART_OF_INDUSTRY,NGO sector,Senegal Lavender Economy 25 June 2025.pdf
Branding,TEACHES_SKILL,Creative Diplomas,South Africa Orange Economy 25 June 2025.pdf
African book industry,PART_OF_INDUSTRY,Publishing and Communication,Senegal Orange Economy 25 June 2025.pdf
Digital Infrastructure and Cloud Services,INFLUENCED_BY,New Deal Technologique,Senegal Platinum Economy 26 June 2025.pdf
Infrastructure,LOCATED_IN,Ghana,Ghana Iron Economy 26 June 2025.pdf
Psychologist,HAS_CHARACTERISTIC,Skilled,Senegal Lavender Economy 25 June 2025.pdf
Dakar,LOCATED_IN,Green Economy,Senegal Green Economy 25 June 2025.pdf
Chemical Engineer,REQUIRES_SKILL,chemical engineering,Kenya Blue Economy 25 June 2025.pdf
Graduates,REQUIRES_SKILL,Customer Service,Ghana Lavender Economy 25 June 2025.pdf
Mining Operations,REQUIRES_SKILL,Construction Materials,Senegal Bronze Economy 26 June 2025.pdf
Britam,PART_OF_INDUSTRY,Financial Services/Insurance,Kenya Platinum Economy 26 June 2025.pdf
Nairobi,LOCATED_IN,Monitoring and Evaluation (M&E),Kenya Yellow Economy 25 June 2025.pdf
AR/VR Specialist,HAS_CHARACTERISTIC,Permanent,Ethiopia Platinum Economy 26 June 2025.pdf
Offshore Platform Support Crew,PART_OF_INDUSTRY,Offshore Support,South Africa Blue Economy 25 June 2025.pdf
DevOps Engineer,REQUIRES_SKILL,Terraform,South Africa Platinum Economy 26 June 2025.pdf
Informal Care Workforce,HAS_CHARACTERISTIC,Imitative,Kenya Lavender Economy 25 June 2025.pdf
Graphic Designer,REQUIRES_SKILL,Illustrator,Kenya Orange Economy 25 June 2025.pdf
Electrical Engineers,HAS_CHARACTERISTIC,Elastic,Senegal Green Economy 25 June 2025.pdf
Midwife (Sage-femme),BELONGS_TO_DOMAIN,Lavender Economy,Senegal Lavender Economy 25 June 2025.pdf
Directeur Artistique (Art Director),REQUIRES_SKILL,Adobe Creative Suite,Senegal Orange Economy 25 June 2025.pdf
Community Forestry Program Manager,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Automobile Industry,LOCATED_IN,Ghana,Ghana Iron Economy 26 June 2025.pdf
Francophone African Market,LOCATED_IN,Insurance Sector,Senegal Gold Economy 26 June 2025.pdf
Youth in Agriculture,HAS_CHARACTERISTIC,Unskilled,Ghana Bronze Economy 26 June 2025.pdf
Retail & Commercial Banking,LOCATED_IN,Johannesburg,South Africa Gold Economy 26 June 2025.pdf
Professional Roles,REQUIRES_SKILL,Accounting,Senegal Gold Economy 26 June 2025.pdf
Influence,REQUIRES_SKILL,Community Manager,Ethiopia Platinum Economy 26 June 2025.pdf
Virtual Event Managers and Producers,HAS_CHARACTERISTIC,Elastic,Ghana Orange Economy 25 June 2025.pdf
Community Health Workers,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
Musician / Performer,PART_OF_INDUSTRY,Music & Audio Production,Ethiopia Orange Economy 25 June 2025.pdf
Regulatory Specialist,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Data Scientist,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Yellow Economy 25 June 2025.pdf
Field staff,IMPLEMENTS,NGO projects,Ghana Yellow Economy 25 June 2025.pdf
Remote Commercial Underwriter,LOCATED_IN,Caribbean,South Africa Gold Economy 26 June 2025.pdf
Quantum Computing Researcher,HAS_CHARACTERISTIC,Elastic,South Africa Platinum Economy 26 June 2025.pdf
Fintech Sector,BELONGS_TO_DOMAIN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Predictive Maintenance Analysts,BELONGS_TO_DOMAIN,Iron Economy,Kenya Iron Economy 26 June 2025.pdf
Steel Industry,LOCATED_IN,South Africa,South Africa Iron Economy 26 June 2025.pdf
Health Sciences,PART_OF_INDUSTRY,Core Technical Knowledge,Ethiopia Yellow Economy 25 June 2025.pdf
Urbaniste,REQUIRES_SKILL,spatial analysis,Senegal Yellow Economy 25 June 2025.pdf
Consulting Engineer,REQUIRES_SKILL,Electrical,South Africa Iron Economy 26 June 2025.pdf
Energy Manager,REQUIRES_SKILL,Energy Audits,Senegal Green Economy 25 June 2025.pdf
Caregiving,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
Fintech & Payments,LOCATED_IN,Johannesburg,South Africa Gold Economy 26 June 2025.pdf
Digital Literacy,TEACHES_SKILL,Public Tertiary Institutions,Ghana Yellow Economy 25 June 2025.pdf
Palliative Care,PART_OF_INDUSTRY,Elder Care,South Africa Lavender Economy 25 June 2025.pdf
Construction Workers,HAS_CHARACTERISTIC,Unskilled,South Africa Iron Economy 26 June 2025.pdf
IT Auditor,REQUIRES_SKILL,Cybersecurity Risks,Kenya Gold Economy 26 June 2025.pdf
Community-Based Tourism Coordinator,REQUIRES_SKILL,benefit-sharing systems,Ghana Green Economy 25 June 2025.pdf
Procurement Coordinator,PART_OF_INDUSTRY,Government Administration,Senegal Yellow Economy 25 June 2025.pdf
GCIC,PART_OF_INDUSTRY,Waste Management,Ghana Platinum Economy 26 June 2025.pdf
Carbon Finance Professional,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Yoftahe Nigussie School of Theatrical Arts,PART_OF_INDUSTRY,Skunder Boghossian College of Performing and Visual Arts,Ethiopia Orange Economy 25 June 2025.pdf
Home-Based Carer,HAS_CHARACTERISTIC,Formal,South Africa Lavender Economy 25 June 2025.pdf
Financial Planner,LOCATED_IN,Cape Town,South Africa Gold Economy 26 June 2025.pdf
Humanité & Inclusion,LOCATED_IN,Senegal,Senegal Yellow Economy 25 June 2025.pdf
Spécialiste Technique Régional MHPSS,LOCATED_IN,Dakar,Senegal Lavender Economy 25 June 2025.pdf
Energy Storage Research and Development Scientist,HAS_CHARACTERISTIC,Knowledge,Ghana Platinum Economy 26 June 2025.pdf
Laboratory Technician,REQUIRES_SKILL,Parasitology,Senegal Lavender Economy 25 June 2025.pdf
Public Service Commission (PSC),GOVERNED_BY,Civil Service,Kenya Yellow Economy 25 June 2025.pdf
AR/VR Specialist,HAS_CHARACTERISTIC,Gig,Ethiopia Platinum Economy 26 June 2025.pdf
Fintech,INFLUENCED_BY,Renew Capital,Ethiopia Platinum Economy 26 June 2025.pdf
M&E / Data Analysis,REQUIRES_SKILL,SPSS,Senegal Yellow Economy 25 June 2025.pdf
Gum Arabic,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Advanced Manufacturing & Automation,LOCATED_IN,Gauteng,South Africa Yellow Economy 25 June 2025.pdf
Green Building Consultant,REQUIRES_SKILL,Water Conservation Techniques,Kenya Green Economy 25 June 2025.pdf
University Degrees,TEACHES_SKILL,Accounting,Kenya Gold Economy 26 June 2025.pdf
Resilience Against Climate Change,GOVERNED_BY,GIZ,Ghana Bronze Economy 26 June 2025.pdf
IGCSE Biology Tutor,HAS_CHARACTERISTIC,Gig,Kenya Yellow Economy 25 June 2025.pdf
Management Roles,LOCATED_IN,Dakar,Senegal Green Economy 25 June 2025.pdf
Community Health Work,BELONGS_TO_DOMAIN,Lavender Economy,South Africa Lavender Economy 25 June 2025.pdf
Business Growth and Development Manager,HAS_CHARACTERISTIC,Skilled,Kenya Gold Economy 26 June 2025.pdf
Pharmacien,BELONGS_TO_DOMAIN,Lavender Economy,Senegal Lavender Economy 25 June 2025.pdf
Nursery Supervisor,BELONGS_TO_DOMAIN,Agriculture,Ghana Bronze Economy 26 June 2025.pdf
Professional Roles,HAS_CHARACTERISTIC,Knowledge,Senegal Gold Economy 26 June 2025.pdf
Product Management,REQUIRES_SKILL,Developer Relations / Evangelist,Ethiopia Platinum Economy 26 June 2025.pdf
Solar Photovoltaic (PV) Technician,BELONGS_TO_DOMAIN,Green Economy,Ghana Iron Economy 26 June 2025.pdf
Jobs Creation Commission,IMPLEMENTS,Recognition of Prior Learning (RPL) Framework,Ethiopia Orange Economy 25 June 2025.pdf
Customer Support Representative,BELONGS_TO_DOMAIN,Platinum Economy,Senegal Gold Economy 26 June 2025.pdf
Social Customer Service Specialists,LOCATED_IN,Senegal,Senegal Yellow Economy 25 June 2025.pdf
Agro-processing and Fast-Moving Consumer Goods (FMCG),BELONGS_TO_DOMAIN,Bronze Economy,Ghana Iron Economy 26 June 2025.pdf
Conflict Resolution,REQUIRES_SKILL,Extension Agent,Ghana Bronze Economy 26 June 2025.pdf
Project Officer,HAS_CHARACTERISTIC,Skilled,Ethiopia Yellow Economy 25 June 2025.pdf
Agricultural Extension Agent,REQUIRES_SKILL,Water-efficient irrigation,Senegal Green Economy 25 June 2025.pdf
Shipping Administration Officer,HAS_CHARACTERISTIC,Skilled,Ghana Blue Economy 25 June 2025.pdf
Water Quality Analysis,REQUIRES_SKILL,Ingénieur Hydrologue,Senegal Green Economy 25 June 2025.pdf
Animator,HAS_CHARACTERISTIC,Skilled,South Africa Orange Economy 25 June 2025.pdf
Artisans,PART_OF_INDUSTRY,Heavy Manufacturing and Fabrication,South Africa Iron Economy 26 June 2025.pdf
Architect,PART_OF_INDUSTRY,Construction Companies,Ghana Orange Economy 25 June 2025.pdf
47 counties,LOCATED_IN,Community Health Worker,Kenya Lavender Economy 25 June 2025.pdf
Marketing Professional,REQUIRES_SKILL,REQUIRES_SKILL,Kenya Blue Economy 25 June 2025.pdf
"Arts, entertainment, and recreation activities",BELONGS_TO_DOMAIN,Orange Economy,Kenya Orange Economy 25 June 2025.pdf
Social Impact Careers,BELONGS_TO_DOMAIN,Yellow Economy,Planning The Refracted Economies Framework.pdf
Child Protection Officer,INFLUENCED_BY,UN Agencies,Senegal Lavender Economy 25 June 2025.pdf
Senior Environmental Assessment Practitioner,LOCATED_IN,South Africa,South Africa Green Economy 25 June 2025.pdf
Marketing Manager,LOCATED_IN,Tema,Ghana Blue Economy 25 June 2025.pdf
Software QA,HAS_PREREQUISITE,Computer Science,Kenya Platinum Economy 26 June 2025.pdf
Massage Therapist,BELONGS_TO_DOMAIN,Lavender Economy,South Africa Lavender Economy 25 June 2025.pdf
BrighterMonday,LOCATED_IN,Nairobi,Kenya Orange Economy 25 June 2025.pdf
National Fintech Skills Initiative,HAS_CHARACTERISTIC,Knowledge,Senegal Gold Economy 26 June 2025.pdf
Generalist Medical Practitioners,HAS_CHARACTERISTIC,Elastic,Ghana Lavender Economy 25 June 2025.pdf
Ministry of Labour / MELR,LOCATED_IN,Ghana,Lists of Job Platforms in our Countries.pdf
Social Media Influencer,LOCATED_IN,Accra,Ghana Orange Economy 25 June 2025.pdf
Registrar,BELONGS_TO_DOMAIN,Yellow Economy,Kenya Yellow Economy 25 June 2025.pdf
EdTech,BELONGS_TO_DOMAIN,Yellow Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Environmental Consulting Firm,PART_OF_INDUSTRY,Finance,Ghana Green Economy 25 June 2025.pdf
Customer Service Agents,BELONGS_TO_DOMAIN,Green Economy,Senegal Iron Economy 26 June 2025.pdf
Port and Shipping Administration,TEACHES_SKILL,Regional Maritime University (RMU),Ghana Blue Economy 25 June 2025.pdf
Green Hydrogen Engineering,BELONGS_TO_DOMAIN,Blue Economy,Kenya Blue Economy 25 June 2025.pdf
Curriculum Developer,PART_OF_INDUSTRY,NGOs,Senegal Green Economy 25 June 2025.pdf
Shipping Logistics,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
Senegal,LOCATED_IN,Digital Marketing Professional,Senegal Orange Economy 25 June 2025.pdf
Marketing,LEADS_TO,advertising agencies,Kenya Orange Economy 25 June 2025.pdf
Ship Repair,LOCATED_IN,Western Cape,South Africa Blue Economy 25 June 2025.pdf
Project Implementation,LOCATED_IN,Regional Hubs,Ghana Yellow Economy 25 June 2025.pdf
Social Work Associate Professionals,HAS_CHARACTERISTIC,Permanent,Kenya Lavender Economy 25 June 2025.pdf
Stylisme,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Quantity Surveyor,REQUIRES_SKILL,Bachelor of Building Economics/Quantity Surveying,Kenya Iron Economy 26 June 2025.pdf
Videographer,PART_OF_INDUSTRY,NGOs,Kenya Orange Economy 25 June 2025.pdf
Research Internships,BELONGS_TO_DOMAIN,Green Economy,Senegal Green Economy 25 June 2025.pdf
DMRE,GOVERNED_BY,Biofuels Industry,South Africa Green Economy 25 June 2025.pdf
ADRA Advocates,LOCATED_IN,Kenya,Kenya Orange Economy 25 June 2025.pdf
M&E Staff,REQUIRES_SKILL,Advanced Data Analysis,Senegal Yellow Economy 25 June 2025.pdf
Startup Community Coordinator / Manager,REQUIRES_SKILL,Social Media Management,Senegal Platinum Economy 26 June 2025.pdf
Automation Engineer,Austria,LOCATED_IN,South Africa Yellow Economy 25 June 2025.pdf
Solar_Photovoltaic_Technician_Installer,LOCATED_IN,Nairobi,Kenya Green Economy 25 June 2025.pdf
Economics-Management,REQUIRES_SKILL,EC,Senegal Undergraduate Admission Prerequisites_.pdf
CAD Design,REQUIRES_SKILL,High-Skilled Freelancers and Consultants,Ghana Blue Economy 25 June 2025.pdf
Tech Professional,LOCATED_IN,South Africa,South Africa Platinum Economy 26 June 2025.pdf
Sustainability Communications Specialist,LOCATED_IN,Gauteng,South Africa Green Economy 25 June 2025.pdf
Boilermaker,HAS_CHARACTERISTIC,Knowledge,South Africa Iron Economy 26 June 2025.pdf
Tour Operator (Eco-tours),LOCATED_IN,iSimangaliso Wetland Park,South Africa Green Economy 25 June 2025.pdf
Deck Officer,REQUIRES_SKILL,STCW Basic Safety,South Africa Blue Economy 25 June 2025.pdf
Regulatory Affairs Specialist (Emerging Tech),REQUIRES_SKILL,Understanding of Technology,Ethiopia Platinum Economy 26 June 2025.pdf
Climate Adaptation Planner,PART_OF_INDUSTRY,provincial government,South Africa Green Economy 25 June 2025.pdf
"British Council's ""Publishing Futures"" report",REQUIRES_SKILL,Instagram,Ghana Orange Economy 25 June 2025.pdf
GZI KENYA LIMITED,LOCATED_IN,Kenya,Kenya Iron Economy 26 June 2025.pdf
